Id,Name,CourseCode,CourseUnit,Semester,Description,courseCategory,DegreeId,DepartmentId,LevelId,Status,Prerequisite,InstitutionProviderId,CreatedDate,UpdatedDate
1597,REMOTE SENSING & PHOTOGEOLOGICAL INTERPRETATION,GEY3135,2,1,,1,2,27,3,,,,1900-01-01,1900-01-02
1598,INTRODUCTION TO MINERAL ECONOMICS,GEY3139,2,1,,2,2,27,3,,,,1900-01-01,1900-01-02
1599,Economic Geology,GEY3201,3,2,,0,2,27,3,,,,1900-01-01,1900-01-02
1600,Geological Field Mapping Techniques,GEY3202,4,2,,0,2,27,3,,,,1900-01-01,1900-01-02
1601,Mining Geology and Mineral Processing,GEY3203,3,2,,1,2,27,3,,,,1900-01-01,1900-01-02
1602,SIWES,GEY3204,15,2,,0,2,27,3,,,,1900-01-01,1900-01-02
1603,Sedimentary Depositional Environment,GEY3205,2,2,,1,2,27,3,,,,1900-01-01,1900-01-02
1604,Entrepreneurial Geoscience,GEY3206,1,2,,1,2,27,3,,,,1900-01-01,1900-01-02
1605,Independent Field Mapping,GEY3207,3,2,,0,2,27,3,,,,1900-01-01,1900-01-02
1606,Optical and Determinative Mineralogy,GEY3209,3,2,,1,2,27,3,,,,1900-01-01,1900-01-02
1607,DETERMINATIVE MINERALOGY,GEY3210,3,2,,1,2,27,3,,,,1900-01-01,1900-01-02
1608,INDEPENDENT FIELD MAPPING,GEY3212,3,2,,0,2,27,3,,,,1900-01-01,1900-01-02
1609,TECHNIQUESIN PETROLEUM RESOURCES ASSESSMENT,GEY3214,2,2,,1,2,27,3,,,,1900-01-01,1900-01-02
1610,DETERMINATIVE MINERALOGY,GEY3230,3,2,,1,2,27,3,,,,1900-01-01,1900-01-02
1611,INDEPENDENT FIELD MAPPING,GEY3233,3,2,,0,2,27,3,,,,1900-01-01,1900-01-02
1612,TECHNIQUESIN PETROLEUM RESOURCES ASSESSMENT,GEY3235,2,2,,1,2,27,3,,,,1900-01-01,1900-01-02
1613,SIWES II,GEY3299,3,2,,0,2,27,3,,,,1900-01-01,1900-01-02
1614,Geotectonics,GEY4101,2,1,,1,2,27,4,,,,1900-01-01,1900-01-02
1615,Palynology & Sequence Stratigraphy,GEY4103,3,1,,1,2,27,4,,,,1900-01-01,1900-01-02
1616,Seminar in Geology,GEY4104,2,1,,0,2,27,4,,,,1900-01-01,1900-01-02
1617,Geochronology & Precambrain Geology of Nigeria,GEY4105,2,1,,0,2,27,4,,,,1900-01-01,1900-01-02
1618,Economic Geology,GEY4107,3,1,,0,2,27,4,,,,1900-01-01,1900-01-02
1619,Applied Geochemistry,GEY4109,2,1,,1,2,27,4,,,,1900-01-01,1900-01-02
1620,Hydrogeology,GEY4111,3,1,,0,2,27,4,,,,1900-01-01,1900-01-02
1621,Marine Geology,GEY4113,2,1,,1,2,27,4,,,,1900-01-01,1900-01-02
1622,Geo Report Writing,GEY4115,1,1,,1,2,27,4,,,,1900-01-01,1900-01-02
1623,Geology of Nigeria,GEY4117,3,1,,0,2,27,4,,,,1900-01-01,1900-01-02
1624,Exploration Geology,GEY4118,3,1,,1,2,27,4,,,,1900-01-01,1900-01-02
1625,Isotope Geology,GEY4119,2,1,,1,2,27,4,,,,1900-01-01,1900-01-02
1626,Introduction to Mineral Economics,GEY4121,2,1,,2,2,27,4,,,,1900-01-01,1900-01-02
1627,ISOTOPE GEOLOGY,GEY4145,2,1,,1,2,27,4,,,,1900-01-01,1900-01-02
1628,MINERAL EXPLORATION,GEY4147,2,1,,0,2,27,4,,,,1900-01-01,1900-01-02
1629,WATER TREATMENT & SOIL REMEDIATION TECHNIQUES,GEY4148,2,1,,1,2,27,4,,,,1900-01-01,1900-01-02
1630,ENVIRONMENTAL & MEDICAL GEOLOGY,GEY4149,2,1,,2,2,27,4,,,,1900-01-01,1900-01-02
1631,Petroleum Geology,GEY4202,3,2,,0,2,27,4,,,,1900-01-01,1900-01-02
1632,Basin Analysis and Sequence Stratigraphy,GEY4203,3,2,,1,2,27,4,,,,1900-01-01,1900-01-02
1633,Mineral Exploration & Mining,GEY4204,3,2,,0,2,27,4,,,,1900-01-01,1900-01-02
1634,Geostatistics & Geoinformatics,GEY4206,2,2,,1,2,27,4,,,,1900-01-01,1900-01-02
1635,Applied Geophysics,GEY4208,3,2,,1,2,27,4,,,,1900-01-01,1900-01-02
1636,Engineering Geology,GEY4210,3,2,,1,2,27,4,,,,1900-01-01,1900-01-02
1637,Geology of Nigeria,GEY4212,3,2,,0,2,27,4,,,,1900-01-01,1900-01-02
1638,Basin Analysis,GEY4214,2,2,,0,2,27,4,,,,1900-01-01,1900-01-02
1639,Seminar in Geology,GEY4216,2,2,,0,2,27,4,,,,1900-01-01,1900-01-02
1640,Mining Geology,GEY4218,2,2,,0,2,27,4,,,,1900-01-01,1900-01-02
1641,Environmental & Medical Geochemistry,GEY4220,2,2,,2,2,27,4,,,,1900-01-01,1900-01-02
1642,Introduction to Chemostratigraphy,GEY4224,1,2,,2,2,27,4,,,,1900-01-01,1900-01-02
1643,Final Year Project,GEY4229,6,2,,0,2,27,4,,,,1900-01-01,1900-01-02
1644,BASIN ANALYSIS& SEQUENCE STRATIGRAPHY,GEY4244,3,2,,1,2,27,4,,,,1900-01-01,1900-01-02
1645,Communication in English,GST111,2,1,,0,2,7,1,,,,1900-01-01,1900-01-02
1646,Nigerian People and Culture,GST112,2,2,,0,2,7,1,,,,1900-01-01,1900-01-02
1647,Philosophy Logic and Human Existence,GST212,2,2,,0,2,7,2,,,,1900-01-01,1900-01-02
1648,Peace and Conflict Resolution,GST312,2,2,,0,2,7,3,,,,1900-01-01,1900-01-02
1649,History of West Africa from 1000 A.D to 1500,HIS102,3,2,,0,2,18,1,,,,1900-01-01,1900-01-02
1650,History of Human Evolution,HIS103,2,1,,0,2,18,1,,,,1900-01-01,1900-01-02
