Id,Name,Description,StateId,CreatedDate,UpdatedDate
362,Ajingi,,19,4/20/2024,4/20/2024
363,Albasu,,19,4/20/2024,4/20/2024
364,Minjibir,,19,4/20/2024,4/20/2024
365,Nassarawa,,19,4/20/2024,4/20/2024
366,Rano,,19,4/20/2024,4/20/2024
367,Bagwai,,19,4/20/2024,4/20/2024
368,Bebeji,,19,4/20/2024,4/20/2024
369,Bichi,,19,4/20/2024,4/20/2024
370,Dawakin Tofa,,19,4/20/2024,4/20/2024
371,Doguwa,,19,4/20/2024,4/20/2024
372,Fagge,,19,4/20/2024,4/20/2024
373,Gabasawa,,19,4/20/2024,4/20/2024
374,Garko,,19,4/20/2024,4/20/2024
375,Garun Mallam,,19,4/20/2024,4/20/2024
376,Gaya,,19,4/20/2024,4/20/2024
377,Gezawa,,19,4/20/2024,4/20/2024
378,Gwale,,19,4/20/2024,4/20/2024
379,Gwarzo,,19,4/20/2024,4/20/2024
380,Bunkure,,19,4/20/2024,4/20/2024
381,Dala,,19,4/20/2024,4/20/2024
382,Dambatta,,19,4/20/2024,4/20/2024
383,Dawakin kudu,,19,4/20/2024,4/20/2024
384,Kabo,,19,4/20/2024,4/20/2024
385,Kano Municipal,,19,4/20/2024,4/20/2024
386,Karaye,,19,4/20/2024,4/20/2024
387,Kibiya,,19,4/20/2024,4/20/2024
388,Kiru,,19,4/20/2024,4/20/2024
389,Kumbtso,,19,4/20/2024,4/20/2024
390,Kunchi,,19,4/20/2024,4/20/2024
391,Kura,,19,4/20/2024,4/20/2024
392,Madobi,,19,4/20/2024,4/20/2024
393,Makoda,,19,4/20/2024,4/20/2024
394,Rimin Gado,,19,4/20/2024,4/20/2024
395,Rogo,,19,4/20/2024,4/20/2024
396,Shanono,,19,4/20/2024,4/20/2024
397,Sumaila,,19,4/20/2024,4/20/2024
398,Takai,,19,4/20/2024,4/20/2024
399,Tarauni,,19,4/20/2024,4/20/2024
400,Tofa,,19,4/20/2024,4/20/2024
401,Tsanyawa,,19,4/20/2024,4/20/2024
402,Tudun Wada,,19,4/20/2024,4/20/2024
403,Ungogo,,19,4/20/2024,4/20/2024
404,Warawa,,19,4/20/2024,4/20/2024
405,Wudil,,19,4/20/2024,4/20/2024
406,Bindawa,,20,4/20/2024,4/20/2024
407,Charanchi,,20,4/20/2024,4/20/2024
408,Dan Musa,,20,4/20/2024,4/20/2024
409,Dandume,,20,4/20/2024,4/20/2024
410,Danja,,20,4/20/2024,4/20/2024
411,Bakori,,20,4/20/2024,4/20/2024
412,Batagarawa,,20,4/20/2024,4/20/2024
413,Batsari,,20,4/20/2024,4/20/2024
414,Baure,,20,4/20/2024,4/20/2024
415,Daura,,20,4/20/2024,4/20/2024
416,Dutsi,,20,4/20/2024,4/20/2024
417,Jibia,,20,4/20/2024,4/20/2024
418,Kafur,,20,4/20/2024,4/20/2024
419,Kaita,,20,4/20/2024,4/20/2024
420,Kankara,,20,4/20/2024,4/20/2024
421,Dutsin-Ma,,20,4/20/2024,4/20/2024
422,Faskari,,20,4/20/2024,4/20/2024
423,Funtua,,20,4/20/2024,4/20/2024
424,Ingawa,,20,4/20/2024,4/20/2024
425,Kankia,,20,4/20/2024,4/20/2024
426,Katsina,,20,4/20/2024,4/20/2024
427,Kurfi,,20,4/20/2024,4/20/2024
428,Kusada,,20,4/20/2024,4/20/2024
429,Mai’Adua,,20,4/20/2024,4/20/2024
430,Malumfashi,,20,4/20/2024,4/20/2024
431,Mani,,20,4/20/2024,4/20/2024
432,Mashi,,20,4/20/2024,4/20/2024
433,Matazu,,20,4/20/2024,4/20/2024
434,Musawa,,20,4/20/2024,4/20/2024
435,Rimi,,20,4/20/2024,4/20/2024
436,Sabuwa,,20,4/20/2024,4/20/2024
437,Safana,,20,4/20/2024,4/20/2024
438,Sandamu,,20,4/20/2024,4/20/2024
439,Zango,,20,4/20/2024,4/20/2024
440,Dandi,,21,4/20/2024,4/20/2024
441,Fakai,,21,4/20/2024,4/20/2024
442,Gwandu,,21,4/20/2024,4/20/2024
443,Jega,,21,4/20/2024,4/20/2024
444,Arewa Dandi,,21,4/20/2024,4/20/2024
445,Argungu,,21,4/20/2024,4/20/2024
446,Augie,,21,4/20/2024,4/20/2024
447,Kalgo,,21,4/20/2024,4/20/2024
448,Sakaba,,21,4/20/2024,4/20/2024
449,Shanga,,21,4/20/2024,4/20/2024
450,Suru,,21,4/20/2024,4/20/2024
451,Koko/Besse,,21,4/20/2024,4/20/2024
452,Maiyama,,21,4/20/2024,4/20/2024
453,Ngaski,,21,4/20/2024,4/20/2024
454,Danko/Wasagu,,21,4/20/2024,4/20/2024
455,Yauri,,21,4/20/2024,4/20/2024
456,Zuru,,21,4/20/2024,4/20/2024
